CST_ID,存款往來年限,AGE,Gender,子女數,職業別,婚姻狀況,教育程度,優利通訊地區,優利戶籍地區,lineid,是否有FEDIRECT,計績AO,計績分行,最早開戶日,dep_mobil,dep_email,存款電子帳單,外幣數,平均存款餘額,台幣活存餘額,台幣定存餘額,外幣活存餘額,外幣定存餘額,其他餘額,總帳戶數,銷帳戶數,有效戶數,靜止戶數,台幣活存數,台幣定存數,外幣活存數,外幣定存數,其他,曾為秘密戶,曾為薪轉戶,曾為證券戶,行員,未消_外幣數,未消_台幣活存數,未消_台幣定存數,未消_外幣活存數,未消_外幣定存數,未消_其他,存_接受DM,存_接受TM,存_接受SMS,存_接受EDM,有效日期,ORIG_PD_ID,CST_CDG_CDG_OCC_CD,CST_CDG_CDG_ICM_AMT,CST_RWB_BAL_AS12_AVGA,CST_RWB_RWB_TENURE_YER,CST_RWB_RWB_KYCRISC_CD,CST_RWB_RWB_CD12_AMT,CST_RWB_RWB_4RWB12_CD,CST_RWB_RWB_5RWB12_CD,CST_RWB_RWB_11RWB12_CD,CST_RWB_RWB_14RWB_CNT,CST_RWB_VAL_CDF_AMT,CST_RWB_VAL_OUMAXCDF_AMT,CST_RWB_VAL_TOMAXCDF_AMT,CST_RWB_VAL_CDSOW12_RT,CST_RWB_HG_13HG_AMT,CCD_CUM_MLA_SP24_AMT,CCD_CUM_MLA_TOT24_AMT,CCD_CUM_MLA_SP7AMT24_RT,CCD_CUM_MLA_TOT12_AMT,AL_BAL_TBL_TOCD12_AMT,AL_BAL_TBL_TOSP99_BL,AL_BAL_TBL_SE7DPTSA12_RT,DEP_AVG_BAL_AMT,NT_INVSM_BAL_INCLD_PREPAID,NT_CMLV_PREM_AMT,AUM,TAG_投資理財:保守型,TAG_投資理財:基金投資,TAG_投資理財:房地產,TAG_投資理財:積極型,TAG_投資理財:股票投資,TAG_金融服務:信用卡,TAG_金融服務:外匯交易,TAG_金融服務:定存,TAG_金融服務:貸款,TAG_金融服務:開戶,區域,產業,投資標的
3804926,6.0,53.0,男,0.0,金融業,已婚,碩士,1.北區,1.北區,0.0,1,99999991.0,2.0,20130201,1,1,1,7,1390000,1300000,80000,20000,0,0,15,1,14,0,4,3,7,1,0,0,1,1,1,7,4,3,7,0,0,0,0,0,0,2019-07-01,FD62,金融業,1000000.0,6778096.0,18.763,5.0,52265.0,822,21.0,822.0,4.0,250.0,400000.0,400000.0,0.26416,74225.0,78547.0,115441.0,68.04082,74225.0,197857.0,12732000.0,18.66265,1601728.2119999996,8887560.405,0.0,10489288.617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
3935,26.0,51.0,女,2.0,金融業,已婚,大學,2.中區,2.中區,0.0,1,59845.0,56.0,19930105,1,1,1,7,3840000,3610000,0,220000,0,0,24,5,19,0,12,0,11,1,0,0,1,1,1,7,8,0,11,0,0,1,1,1,1,2019-07-01,AC36,金融業,1000000.0,4560064.0,26.987,5.0,324605.0,013,809,13.0,3.0,400.0,150000.0,400000.0,0.83234,328207.0,176744.0,523126.0,33.786120000000004,328187.0,389992.0,0.0,38.65923,4269229.195,597865.108,0.0,4867094.303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
1016019,13.0,13.0,男,0.0,未知,未知,未知,2.中區,2.中區,0.0,0,17474.0,50.0,20060808,1,1,1,4,1900000,0,0,1900000,0,0,6,0,6,0,3,0,3,0,0,0,0,0,0,4,3,0,3,0,0,1,1,1,1,2019-07-01,AR12,學生,0.0,3163642.0,13.395,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2718463.324,1083966.53,260000.0,4062429.854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
1016017,14.0,14.0,女,0.0,未知,未知,未知,2.中區,2.中區,0.0,0,17474.0,50.0,20050913,1,1,1,5,2310000,470000,0,1830000,0,0,7,0,7,0,3,0,4,0,0,0,0,0,0,5,3,0,4,0,0,1,1,1,1,2019-07-01,AR12,學生,0.0,2866241.0,14.297,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3299876.702,230530.0,0.0,3530406.702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
4010092,16.0,40.0,男,0.0,金融業,未知,碩士,1.北區,2.中區,1.0,1,92911.0,1.0,20030107,1,1,1,3,590000,550000,0,40000,0,0,7,1,6,0,4,0,3,0,0,0,1,0,1,3,3,0,3,0,0,1,1,1,1,2019-07-01,AC11,金融業,0.0,785434.0,17.553,5.0,24113.0,8.0,012,8.0,7.0,400.0,300000.0,400000.0,0.07243,50381.0,14254.0,50381.0,28.29241,50381.0,332927.0,0.0,0.0,589964.0,237000.0,0.0,826964.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
2153803,20.0,43.0,男,2.0,金融業,已婚,碩士,1.北區,1.北區,0.0,0,77779.0,2.0,19990922,1,0,0,1,180000,180000,0,0,0,0,3,0,2,1,3,0,0,0,0,0,1,0,1,1,3,0,0,0,0,1,1,1,1,2019-07-01,DE51,金融業,880000.0,235136.0,20.272,4.0,55696.0,822,0,0.0,3.0,150.0,180000.0,180000.0,0.78371,57646.0,14162.0,90616.0,15.62859,58046.0,71067.0,0.0,0.0,173430.129,0.0,0.0,173430.129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
2006837,22.0,67.0,男,2.0,自由業、攤販,已婚,碩士,1.北區,1.北區,1.0,0,96109.0,27.0,19970731,1,1,0,5,1000000,30000,0,970000,0,0,42,34,8,0,4,25,4,9,0,0,0,0,0,5,4,0,4,0,0,1,1,1,1,2019-07-01,AL10,營造業,2000000.0,13277903.0,22.417,5.0,16313.0,807,0,807.0,4.0,290.0,350000.0,350000.0,0.06529,8971.0,0.0,25309.0,0.0,10396.0,249850.0,11448000.0,0.0,47494.794,14660387.537,25564004.0,40271886.331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,1
1593301,13.0,42.0,女,0.0,金融業,未知,大學,3.南區,3.南區,1.0,0,99999991.0,16.0,20060302,1,1,0,5,1940000,530000,1350000,60000,0,0,164,150,14,0,5,127,5,27,0,0,1,1,1,5,4,5,5,0,0,1,1,1,1,2019-07-01,AC81,金融業,500000.0,3146288.0,13.828,4.0,28383.0,081,007,0.0,4.0,200.0,160000.0,200000.0,0.03098,24858.0,155027.0,221841.0,69.88203,24858.0,916301.0,0.0,0.00109,1996044.206,775048.8640000002,0.0,2771093.07,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1
5552095,16.0,27.0,女,0.0,未知,未知,碩士,3.南區,3.南區,0.0,0,2364.0,16.0,20030502,1,1,0,5,2620000,2020000,0,600000,0,0,7,2,5,0,1,1,4,1,0,1,0,0,0,5,1,0,4,0,0,0,0,0,0,2019-07-01,DD01,0,0.0,2891750.0,16.660999999999998,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2103472.324,7658882.312999999,0.0,9762354.637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
5906418,16.0,37.0,女,0.0,非高度專業服務業,已婚,高中職,1.北區,1.北區,0.0,0,78285.0,62.0,20031022,1,1,1,2,70000,50000,0,20000,0,0,7,3,4,0,3,2,1,1,0,0,0,0,0,2,3,0,1,0,0,1,1,1,1,2019-07-01,BL10,服務業,400000.0,326747.0,16.191,5.0,130971.0,12.0,806.0,12.0,3.0,120.0,80000.0,120000.0,0.72733,159656.0,96787.0,325499.0,29.73496,159656.0,180072.0,0.0,0.0,73629.893,762332.0,0.0,835961.8929999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
7346356,7.0,33.0,女,0.0,金融業,未知,大學,1.北區,1.北區,0.0,1,97724.0,19.0,20120822,1,1,1,6,740000,740000,0,0,0,0,13,4,9,0,5,1,7,0,0,0,1,0,1,6,3,0,6,0,0,1,1,1,1,2019-07-01,AR12,金融業,390000.0,1279054.0,7.358,5.0,103553.0,012,008,12.0,4.0,70.0,130000.0,130000.0,0.32423,0.0,0.0,0.0,0.0,0.0,319380.0,0.0,0.0,1058917.063,481696.0,0.0,1540613.063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
7192647,6.0,39.0,男,1.0,金融業,已婚,大學,1.北區,1.北區,0.0,1,99999991.0,15.0,20131202,1,1,1,4,710000,650000,0,70000,0,0,9,0,9,0,3,0,6,0,0,0,1,0,1,4,3,0,6,0,0,1,1,1,1,2019-07-01,AB15,金融業,880000.0,1174264.0,7.465,5.0,2709.0,808,812,822.0,13.0,180.0,340000.0,340000.0,0.0049,2240.0,10728.0,10878.0,98.62107,5863.0,553336.0,5859000.0,0.0,635961.836,1264167.4,0.0,1900129.236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
8371485,3.0,67.0,男,0.0,軍人、警察、消防人員,未知,專科,2.中區,2.中區,0.0,0,59845.0,56.0,20160108,1,1,0,2,60000,40000,0,20000,0,0,3,1,2,0,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,1,1,1,1,2019-07-01,FD13,退休,500000.0,907390.0,6.683,5.0,38894.0,0,0,0.0,1.0,120.0,0.0,120000.0,1.0,63798.0,51081.0,167273.0,30.5375,63798.0,38894.0,0.0,0.0,500742.88,1133731.748,0.0,1634474.628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
4010092,16.0,40.0,男,0.0,金融業,未知,碩士,1.北區,2.中區,1.0,1,92911.0,1.0,20030107,1,1,1,3,590000,550000,0,40000,0,0,7,1,6,0,4,0,3,0,0,0,1,0,1,3,3,0,3,0,0,1,1,1,1,2019-07-01,AK02,金融業,0.0,785434.0,17.553,5.0,24113.0,8.0,012,8.0,7.0,400.0,300000.0,400000.0,0.07243,50381.0,14254.0,50381.0,28.29241,50381.0,332927.0,0.0,0.0,589964.0,237000.0,0.0,826964.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
3935,26.0,51.0,女,2.0,金融業,已婚,大學,2.中區,2.中區,0.0,1,59845.0,56.0,19930105,1,1,1,7,3840000,3610000,0,220000,0,0,24,5,19,0,12,0,11,1,0,0,1,1,1,7,8,0,11,0,0,1,1,1,1,2019-07-01,AR35,金融業,1000000.0,4560064.0,26.987,5.0,324605.0,013,809,13.0,3.0,400.0,150000.0,400000.0,0.83234,328207.0,176744.0,523126.0,33.786120000000004,328187.0,389992.0,0.0,38.65923,4269229.195,597865.108,0.0,4867094.303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
4010092,16.0,40.0,男,0.0,金融業,未知,碩士,1.北區,2.中區,1.0,1,92911.0,1.0,20030107,1,1,1,3,590000,550000,0,40000,0,0,7,1,6,0,4,0,3,0,0,0,1,0,1,3,3,0,3,0,0,1,1,1,1,2019-07-01,AJ21,金融業,0.0,785434.0,17.553,5.0,24113.0,8.0,012,8.0,7.0,400.0,300000.0,400000.0,0.07243,50381.0,14254.0,50381.0,28.29241,50381.0,332927.0,0.0,0.0,589964.0,237000.0,0.0,826964.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
5645242,15.0,43.0,女,0.0,未知,已婚,未知,1.北區,2.中區,0.0,0,19417.0,47.0,20040315,0,0,0,1,40000,40000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2019-07-01,FG66,公教人員,0.0,515627.0,15.793,4.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35580.484,825104.0,0.0,860684.484,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1
5906418,16.0,37.0,女,0.0,非高度專業服務業,已婚,高中職,1.北區,1.北區,0.0,0,78285.0,62.0,20031022,1,1,1,2,70000,50000,0,20000,0,0,7,3,4,0,3,2,1,1,0,0,0,0,0,2,3,0,1,0,0,1,1,1,1,2019-07-01,BL08,服務業,400000.0,326747.0,16.191,5.0,130971.0,12.0,806.0,12.0,3.0,120.0,80000.0,120000.0,0.72733,159656.0,96787.0,325499.0,29.73496,159656.0,180072.0,0.0,0.0,73629.893,762332.0,0.0,835961.8929999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
3804926,6.0,53.0,男,0.0,金融業,已婚,碩士,1.北區,1.北區,0.0,1,99999991.0,2.0,20130201,1,1,1,7,1390000,1300000,80000,20000,0,0,15,1,14,0,4,3,7,1,0,0,1,1,1,7,4,3,7,0,0,0,0,0,0,2019-07-01,FI07,金融業,1000000.0,6778096.0,18.763,5.0,52265.0,822,21.0,822.0,4.0,250.0,400000.0,400000.0,0.26416,74225.0,78547.0,115441.0,68.04082,74225.0,197857.0,12732000.0,18.66265,1601728.2119999996,8887560.405,0.0,10489288.617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,1
929390,18.0,50.0,男,2.0,進出口貿易業,已婚,專科,3.南區,3.南區,0.0,0,99999991.0,54.0,20011015,1,1,1,4,180000,180000,0,0,0,0,9,4,5,0,2,3,3,1,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,2019-07-01,AR12,商業,3000000.0,1253567.0,18.21,5.0,39599.0,021,013,0.0,5.0,150.0,402000.0,402000.0,0.09371,42376.0,1716.0,78677.0,2.18107,42376.0,422551.0,0.0,0.0,214378.703,390000.0,500000.0,1104378.703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
929390,18.0,50.0,男,2.0,進出口貿易業,已婚,專科,3.南區,3.南區,0.0,0,99999991.0,54.0,20011015,1,1,1,4,180000,180000,0,0,0,0,9,4,5,0,2,3,3,1,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,2019-07-01,FR52,商業,3000000.0,1253567.0,18.21,5.0,39599.0,021,013,0.0,5.0,150.0,402000.0,402000.0,0.09371,42376.0,1716.0,78677.0,2.18107,42376.0,422551.0,0.0,0.0,214378.703,390000.0,500000.0,1104378.703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
12577575,1.0,56.0,女,3.0,未知,已婚,高中職,1.北區,1.北區,0.0,0,10841.0,1.0,20180222,1,1,1,2,320000,150000,0,170000,0,0,4,2,2,0,1,1,1,1,0,0,0,0,0,2,1,0,1,0,0,1,1,1,1,2019-07-01,AR12,服務業,0.0,927661.0,1.851,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,904286.617,1102702.397,0.0,2006989.014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
6371704,14.0,70.0,男,3.0,自由業、攤販,已婚,專科,3.南區,3.南區,0.0,0,59915.0,52.0,20050318,1,1,0,4,1730000,120000,0,1610000,0,0,12,8,4,0,1,6,3,1,1,0,0,0,0,4,1,0,3,0,0,0,0,0,0,2019-07-01,BP54,退休,230000.0,4117078.0,12.578,5.0,6000.0,808.0,0,0.0,3.0,120.0,140000.0,140000.0,0.08085,7000.0,7321.0,18821.0,38.89804,7000.0,74207.0,0.0,0.0,1648782.7769999998,5191736.2,0.0,6840518.977000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
1829431,10.0,60.0,男,2.0,教育機關,已婚,博士,2.中區,2.中區,0.0,0,57476.0,49.0,20091130,1,1,1,5,30000,0,0,30000,0,0,6,0,5,1,2,0,4,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0,0,2019-07-01,FG75,教育機關,1200000.0,3465031.0,10.083,4.0,7200.0,012,A82,21.0,6.0,250.0,400000.0,400000.0,0.01085,7200.0,0.0,12800.0,0.0,6800.0,663542.0,0.0,0.0,46293.413,3451169.402,0.0,3497462.815,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1
1958765,15.0,44.0,男,0.0,電腦電子業,未知,碩士,1.北區,1.北區,0.0,0,69646.0,62.0,20040927,1,1,1,2,90000,90000,0,0,0,0,3,0,2,1,2,0,1,0,0,0,0,0,0,2,2,0,1,0,0,1,1,1,1,2019-07-01,DJ06,資訊業,1000000.0,162236.0,15.258,5.0,90443.0,812,822,812.0,3.0,280.0,310000.0,310000.0,0.09948,128227.0,65484.0,128227.0,51.06881,128227.0,909113.0,4277000.0,0.0,64609.742,66000.0,2000000.0,2130609.742,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2651862,25.0,39.0,女,0.0,自由業、攤販,未知,碩士,1.北區,1.北區,0.0,0,99999991.0,14.0,19940322,1,1,1,2,140000,70000,0,70000,0,0,5,1,1,3,3,1,1,0,0,0,0,0,0,2,3,0,1,0,0,1,1,1,1,2019-07-01,FG75,資訊業,0.0,644595.0,25.774,5.0,0.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105395.816,1204240.0,0.0,1309635.816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,1
1021772,22.0,57.0,男,1.0,未知,已婚,大學,1.北區,1.北區,0.0,0,2114.0,10.0,19970707,1,1,1,2,2260000,10000,2240000,10000,0,0,11,3,7,1,3,6,2,0,0,0,0,1,0,2,3,3,2,0,0,1,1,1,1,2019-07-01,FD15,服務業,0.0,4784997.0,22.481,5.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93316,2246988.293,603878.0,2881394.0,5732260.293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
3406655,2.0,44.0,女,0.0,電腦電子業,未知,碩士,1.北區,1.北區,0.0,0,69646.0,62.0,20170214,1,1,1,4,700000,0,0,170000,530000,0,10,4,6,0,1,0,3,6,0,0,0,0,0,4,1,0,3,2,0,0,0,0,0,2019-07-01,DJ06,資訊業,0.0,3901723.0,19.72,5.0,0.0,822,812,822.0,3.0,120.0,160000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,569892.0,2526000.0,0.0,675023.703,273290.904,6000000.0,6948314.607000002,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0
2487522,21.0,40.0,女,0.0,金融業,已婚,專科,1.北區,1.北區,0.0,0,77779.0,2.0,19980416,1,1,1,1,2640000,1110000,1530000,0,0,0,38,29,9,0,3,35,0,0,0,0,1,1,1,1,3,6,0,0,0,1,1,1,1,2019-07-01,DC20,其他,500000.0,3253745.0,21.706,5.0,28505.0,13.0,103,13.0,5.0,288.0,280000.0,288000.0,0.28059,37107.0,9695.0,76497.0,12.6737,37107.0,101589.0,0.0,0.88571,2656314.3230000003,170000.0,754232.0,3580546.323000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
974531,23.0,59.0,女,2.0,批發、零售業,未知,專科,3.南區,3.南區,0.0,0,48934.0,6.0,19960312,1,1,1,3,10000,10000,0,0,0,0,3,0,3,0,1,0,2,0,0,0,0,0,0,3,1,0,2,0,0,1,1,1,1,2019-07-01,DD03,其他,1700000.0,71427.0,23.801,5.0,33670.0,808,812,812.0,3.0,84.0,80000.0,84000.0,0.5173399999999999,33470.0,6870.0,54216.0,12.67154,33470.0,65083.0,930000.0,0.0,4335.741,60000.0,0.0,64335.741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0
8371485,3.0,67.0,男,0.0,軍人、警察、消防人員,未知,專科,2.中區,2.中區,0.0,0,59845.0,56.0,20160108,1,1,0,2,60000,40000,0,20000,0,0,3,1,2,0,1,0,1,1,0,0,0,0,0,2,1,0,1,0,0,1,1,1,1,2019-07-01,FD15,退休,500000.0,907390.0,6.683,5.0,38894.0,0,0,0.0,1.0,120.0,0.0,120000.0,1.0,63798.0,51081.0,167273.0,30.5375,63798.0,38894.0,0.0,0.0,500742.88,1133731.748,0.0,1634474.628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
